customer_id,transaction_id,customer_age,account_age_days,customer_gender,customer_income,account_balance,transaction_amount,transaction_hour,transaction_day,transaction_type,merchant_category,payment_method,transaction_location,is_international_transaction,device_type,device_trust_score,distance_from_home_km,transactions_last_24h,transactions_last_7d,avg_transaction_amount,previous_transaction_amount,time_since_last_transaction_min,failed_transaction_count_24h,new_device_used,location_mismatch,unusual_transaction_time,is_fraud
100041,TXN0000041,44,1111,Male,35546.0,73471.78,919.92,6,Wednesday,Purchase,Fuel,Credit Card,Delhi,No,Mobile,62.5,7.5,3,17,1605.45,1163.87,347,1,No,No,No,0
100042,TXN0000042,42,1096,Female,43648.0,12758.78,1781.47,12,Wednesday,Purchase,Online Services,Credit Card,Other,No,POS,69.7,55.2,3,24,3395.88,4131.75,254,0,No,No,No,0
100043,TXN0000043,29,2420,Male,33651.0,39210.83,555.32,20,Saturday,Bill Payment,Entertainment,Online,Mumbai,No,POS,81.4,44.1,3,11,735.5,115.52,81,0,No,No,No,0
100044,TXN0000044,39,937,Male,29810.0,30912.47,1664.49,12,Tuesday,Purchase,Dining,Contactless,Bengaluru,No,Mobile,89.7,47.4,2,17,705.15,1656.92,432,1,No,No,No,0
100045,TXN0000045,37,1190,Female,42262.0,44381.76,245.39,10,Monday,Transfer,Grocery,Credit Card,Ahmedabad,Yes,POS,38.9,17.5,5,21,434.16,456.79,24,0,No,No,No,0
100046,TXN0000046,38,1762,Female,48778.0,17980.13,473.71,20,Sunday,Online Purchase,Grocery,Credit Card,Jaipur,No,Desktop,93.1,11.1,2,29,282.73,1113.64,592,1,No,No,No,0
100047,TXN0000047,46,2209,Female,81217.0,116142.48,1071.32,13,Friday,Purchase,Healthcare,Credit Card,Kolkata,No,Mobile,89.5,15.5,5,18,811.18,1149.76,856,0,No,No,No,0
100048,TXN0000048,38,891,Male,71698.0,74476.22,571.81,15,Friday,Purchase,Travel,Contactless,Hyderabad,No,Mobile,95.8,32.1,5,19,587.67,313.09,1854,1,No,No,No,0
100049,TXN0000049,43,669,Female,48857.0,40604.94,744.88,19,Saturday,ATM Withdrawal,Entertainment,Credit Card,Delhi,No,POS,62.5,34.5,3,20,1285.76,355.04,139,0,No,No,No,0
100050,TXN0000050,37,1217,Male,98331.0,9864.61,1099.09,15,Monday,Bill Payment,Dining,Online,Pune,No,Mobile,58.9,14.5,3,25,1709.0,616.57,570,1,No,No,No,0
100051,TXN0000051,39,675,Other,62961.0,11363.45,827.12,11,Saturday,ATM Withdrawal,Electronics,Credit Card,Bengaluru,No,Desktop,39.9,15.6,5,23,1132.44,700.31,1198,0,No,No,No,0
100052,TXN0000052,43,1510,Male,38384.0,15993.69,1009.06,18,Thursday,Bill Payment,Grocery,Debit Card,Ahmedabad,No,Mobile,83.4,40.6,2,14,2512.19,649.08,791,0,No,No,No,0
100053,TXN0000053,20,2199,Male,41091.0,27876.34,2183.61,11,Thursday,ATM Withdrawal,Dining,Credit Card,Delhi,No,Mobile,85.5,16.5,2,20,1219.77,2036.84,172,1,No,No,No,0
100054,TXN0000054,32,1266,Female,35081.0,25607.03,600.57,12,Monday,ATM Withdrawal,Grocery,Debit Card,Ahmedabad,No,Desktop,78.4,20.8,6,23,930.76,1226.7,519,1,No,No,No,0
100055,TXN0000055,31,2989,Male,27319.0,58842.54,915.42,12,Tuesday,Purchase,Electronics,Credit Card,Pune,No,Mobile,95.9,23.2,4,19,416.62,517.25,1482,1,No,No,No,0
100056,TXN0000056,29,1414,Male,75209.0,68061.81,1470.45,18,Friday,Purchase,Travel,Debit Card,Delhi,No,Mobile,89.6,2.9,4,16,2081.88,1899.88,247,0,No,No,No,0
100057,TXN0000057,33,2819,Male,20707.0,42875.26,3660.15,18,Friday,Purchase,Fuel,Debit Card,Pune,No,Desktop,89.0,11.9,4,22,3666.42,5074.73,589,1,No,No,No,0
100058,TXN0000058,52,1065,Female,128690.0,211802.83,1389.89,18,Monday,Online Purchase,Grocery,Credit Card,Mumbai,No,POS,49.9,33.6,1,15,1304.47,554.44,956,1,No,No,No,0
100059,TXN0000059,26,4870,Female,82462.0,44317.57,4177.31,17,Monday,Purchase,Travel,Credit Card,Mumbai,No,POS,90.2,42.7,4,19,2200.52,14369.38,2948,0,No,No,No,0
100060,TXN0000060,47,1363,Male,106955.0,73023.37,782.69,13,Friday,Online Purchase,Dining,Credit Card,Kolkata,No,Mobile,75.2,7.1,2,15,608.87,659.21,68,0,No,No,No,0
100061,TXN0000061,18,977,Female,20407.0,63628.9,725.99,20,Friday,Purchase,Electronics,Debit Card,Jaipur,No,Mobile,89.5,17.0,4,16,437.99,593.1,436,0,Yes,No,No,0
100062,TXN0000062,32,763,Male,52512.0,108984.81,2466.49,18,Thursday,Purchase,Online Services,Online,Pune,No,Tablet,64.6,77.4,8,15,1767.33,3448.62,307,0,No,No,No,0
100063,TXN0000063,38,831,Male,63418.0,10385.04,600.53,13,Wednesday,Online Purchase,Grocery,Credit Card,Mumbai,No,POS,91.2,29.9,1,14,488.68,175.17,947,1,No,No,No,0
100064,TXN0000064,42,1745,Male,69344.0,94199.62,595.56,10,Friday,Transfer,Dining,Debit Card,Other,Yes,Mobile,86.3,25.7,7,20,373.08,785.6,1728,0,No,No,No,0
100065,TXN0000065,44,2078,Male,37847.0,74644.59,17552.35,18,Wednesday,Purchase,Grocery,Debit Card,Pune,No,Mobile,60.6,2.2,3,22,18553.62,7722.93,732,1,Yes,Yes,No,1
100066,TXN0000066,45,378,Female,64562.0,108836.2,871.44,10,Monday,Purchase,Online Services,Debit Card,Mumbai,No,Tablet,62.8,5.8,2,18,1180.44,1125.95,144,0,No,No,No,0
100067,TXN0000067,32,864,Male,37061.0,34408.99,2159.19,13,Monday,Purchase,Electronics,Contactless,Jaipur,No,Mobile,76.3,26.9,3,19,2028.72,3795.54,843,0,No,No,No,0
100068,TXN0000068,31,1807,Male,45125.0,99242.54,3985.05,18,Friday,Online Purchase,Healthcare,Credit Card,Kolkata,No,Mobile,69.7,15.4,2,13,5154.25,3048.71,9552,0,No,Yes,No,0
100069,TXN0000069,45,997,Female,71380.0,144249.66,3494.01,23,Monday,Online Purchase,Clothing,Credit Card,Hyderabad,No,POS,60.2,19.6,7,18,3718.16,3261.66,539,0,No,No,Yes,0
100070,TXN0000070,34,820,Male,51862.0,62735.26,7926.75,13,Sunday,Online Purchase,Grocery,Credit Card,Pune,No,Desktop,71.1,3.6,1,15,11075.21,9268.48,793,0,No,No,No,0
100071,TXN0000071,22,5000,Male,76981.0,76072.58,1354.8,13,Wednesday,Purchase,Dining,Online,Ahmedabad,No,POS,87.5,29.5,5,15,2060.4,2527.4,2489,0,No,No,No,0
100072,TXN0000072,24,1887,Female,26714.0,34650.09,1068.9,16,Thursday,Purchase,Clothing,Credit Card,Delhi,Yes,Mobile,59.8,26.7,5,16,1140.11,1201.5,1998,0,No,No,No,0
100073,TXN0000073,26,3039,Male,54020.0,51694.39,1326.07,7,Monday,Transfer,Clothing,Credit Card,Ahmedabad,No,Mobile,68.6,63.7,7,30,981.99,680.71,608,0,No,No,No,0
100074,TXN0000074,41,3085,Male,44804.0,27589.88,452.6,15,Saturday,Purchase,Clothing,Debit Card,Chennai,No,Mobile,77.8,19.0,2,27,578.89,148.08,247,1,No,No,No,0
100075,TXN0000075,38,1080,Female,69647.0,58770.39,6352.3,22,Monday,Purchase,Fuel,Credit Card,Hyderabad,No,POS,73.7,16.7,5,18,8601.23,2918.31,144,0,No,No,No,0
100076,TXN0000076,44,336,Female,98849.0,41769.2,1224.36,23,Saturday,Online Purchase,Clothing,Contactless,Other,Yes,Mobile,70.8,13.0,5,16,1003.46,978.93,462,0,No,No,Yes,0
100077,TXN0000077,31,1770,Male,144561.0,11649.47,1747.14,15,Saturday,Bill Payment,Electronics,Credit Card,Mumbai,No,Tablet,73.6,17.8,4,8,5743.63,1938.18,451,1,Yes,No,No,0
100078,TXN0000078,38,995,Male,69795.0,16625.23,1663.28,19,Monday,Online Purchase,Dining,Credit Card,Pune,No,Desktop,79.0,32.1,3,21,1006.0,1756.02,341,0,Yes,No,No,0
100079,TXN0000079,43,1157,Female,106477.0,139182.9,1176.42,9,Saturday,Purchase,Grocery,Contactless,Mumbai,No,Desktop,89.2,43.0,2,13,890.91,477.67,152,0,No,No,No,0
100080,TXN0000080,33,985,Male,74903.0,33907.41,547.48,12,Monday,Transfer,Dining,Contactless,Hyderabad,No,Mobile,81.6,23.7,4,21,302.79,246.87,1140,0,No,No,No,0
100081,TXN0000081,41,968,Male,41719.0,36594.3,19743.12,14,Friday,Purchase,Grocery,Debit Card,Ahmedabad,No,Tablet,63.5,62.7,4,16,13810.78,30373.8,194,0,No,No,No,0
100082,TXN0000082,29,487,Female,49069.0,47372.08,628.05,15,Monday,Purchase,Travel,Online,Jaipur,No,Mobile,85.8,16.9,2,19,626.89,441.39,610,0,No,No,No,0
100083,TXN0000083,32,1984,Male,82389.0,29884.51,703.4,19,Saturday,Bill Payment,Dining,Credit Card,Other,No,Desktop,87.2,15.4,5,19,788.02,955.13,1201,0,No,No,No,0
100084,TXN0000084,32,2273,Female,80131.0,23874.58,5554.73,3,Saturday,ATM Withdrawal,Travel,Credit Card,Mumbai,No,Tablet,79.9,21.8,9,13,5811.21,4512.63,17,0,Yes,No,Yes,0
100085,TXN0000085,23,1346,Male,71737.0,51724.66,4453.18,7,Tuesday,Transfer,Grocery,Credit Card,Other,No,Desktop,63.1,12.6,4,30,7202.06,8408.92,230,0,No,No,No,0
100086,TXN0000086,41,923,Female,67682.0,51527.39,381.84,19,Tuesday,Online Purchase,Online Services,Online,Chennai,Yes,Mobile,74.6,18.8,6,14,216.95,378.8,130,0,No,No,No,0
100087,TXN0000087,31,2446,Male,74228.0,151720.73,3012.92,18,Monday,Transfer,Fuel,Online,Pune,No,Mobile,88.5,11.3,2,25,6293.37,2665.87,441,1,No,No,No,0
100088,TXN0000088,36,761,Female,63444.0,24935.55,1355.2,9,Monday,Purchase,Travel,Contactless,Chennai,No,POS,89.2,11.6,3,17,2702.81,818.13,203,0,No,No,No,0
100089,TXN0000089,41,1103,Female,23088.0,69917.48,927.67,9,Thursday,Online Purchase,Online Services,Debit Card,Kolkata,No,POS,68.4,67.0,7,18,564.28,2983.05,594,0,Yes,No,No,0
100090,TXN0000090,41,1448,Male,78836.0,31500.56,2824.23,17,Saturday,Purchase,Grocery,Debit Card,Pune,No,Mobile,73.3,42.1,5,17,2991.75,10290.84,122,0,No,No,No,0
100091,TXN0000091,43,1319,Male,28742.0,93333.14,749.65,15,Wednesday,Transfer,Dining,Contactless,Mumbai,No,Mobile,69.4,6.6,7,27,595.9,397.12,358,0,No,No,No,0
100092,TXN0000092,35,574,Female,85722.0,10358.08,897.5,15,Tuesday,ATM Withdrawal,Online Services,Debit Card,Other,No,Mobile,83.4,18.1,4,13,775.21,836.76,880,0,No,No,No,0
100093,TXN0000093,31,558,Female,35997.0,45998.44,1098.7,10,Saturday,Purchase,Electronics,Debit Card,Pune,No,POS,74.7,33.5,1,18,1376.94,565.26,35,0,No,No,No,0
100094,TXN0000094,35,698,Female,39031.0,51004.82,2445.17,17,Thursday,Online Purchase,Dining,Credit Card,Pune,No,Mobile,95.7,35.7,3,19,1708.43,6566.82,223,0,No,No,No,0
100095,TXN0000095,18,3616,Male,36360.0,181744.41,2985.08,15,Friday,Purchase,Fuel,Online,Pune,No,Mobile,85.5,51.1,4,25,2547.96,2952.28,1368,0,No,No,No,0
100096,TXN0000096,20,1243,Female,65448.0,17373.73,5512.87,19,Friday,ATM Withdrawal,Clothing,Credit Card,Bengaluru,No,Mobile,98.3,30.4,9,22,5111.37,6308.91,743,0,No,No,No,0
100097,TXN0000097,21,2164,Male,35744.0,120038.75,1758.65,11,Saturday,Purchase,Clothing,Debit Card,Kolkata,No,Mobile,87.3,40.6,1,26,2406.92,1729.16,171,0,No,No,No,0
100098,TXN0000098,25,802,Female,81780.0,42246.66,1389.05,19,Thursday,Purchase,Dining,Online,Pune,No,Mobile,97.9,13.9,5,16,1046.86,2496.45,312,0,No,No,No,0
100099,TXN0000099,40,978,Female,18000.0,21808.33,2145.43,14,Tuesday,Transfer,Grocery,Contactless,Pune,No,Mobile,80.1,8.7,7,11,3884.47,1756.97,227,0,No,No,No,0
100100,TXN0000100,26,1369,Male,41345.0,77224.23,4189.76,9,Friday,Purchase,Grocery,Credit Card,Delhi,No,Desktop,72.3,46.2,7,19,4644.74,5600.52,30,0,No,No,No,0
100101,TXN0000101,32,1307,Male,78099.0,59953.65,7066.09,14,Saturday,Purchase,Online Services,Contactless,Ahmedabad,No,POS,98.1,6.9,5,19,5608.8,6995.22,1524,1,No,No,No,0
100102,TXN0000102,50,678,Female,51972.0,22930.98,502.76,10,Monday,Purchase,Fuel,Debit Card,Other,No,Mobile,62.9,4.9,6,23,437.11,376.57,5571,1,No,No,No,0
100103,TXN0000103,32,719,Female,91349.0,11693.73,7387.22,13,Sunday,Online Purchase,Travel,Contactless,Ahmedabad,No,POS,64.5,23.5,5,24,6158.91,11169.97,234,0,No,No,No,0
100104,TXN0000104,44,493,Female,56340.0,71686.28,8756.32,17,Saturday,Transfer,Dining,Credit Card,Hyderabad,No,Desktop,82.8,34.3,1,16,20021.3,21454.26,1043,0,No,No,No,0
100105,TXN0000105,26,1279,Female,112560.0,38109.69,2410.32,9,Thursday,Transfer,Fuel,Debit Card,Mumbai,No,POS,61.5,19.7,6,19,3332.03,1656.12,67,0,No,Yes,No,0
100106,TXN0000106,34,2309,Female,83385.0,30302.88,2844.12,14,Tuesday,Transfer,Grocery,Debit Card,Bengaluru,No,POS,55.8,4.3,3,15,2244.64,3594.38,94,0,No,No,No,0
100107,TXN0000107,26,1402,Female,40557.0,33804.85,1707.6,16,Tuesday,Purchase,Dining,Contactless,Jaipur,No,POS,64.7,16.7,5,15,2658.91,1427.09,1184,0,No,No,No,0
100108,TXN0000108,32,2416,Female,74648.0,32478.29,1106.83,18,Monday,Purchase,Grocery,Credit Card,Bengaluru,No,POS,81.0,9.2,4,24,1065.08,1042.35,830,0,No,No,No,0
100109,TXN0000109,45,416,Male,19536.0,32437.87,1583.92,16,Saturday,Purchase,Dining,Debit Card,Jaipur,No,POS,81.2,23.3,3,12,1652.81,2481.33,87,0,Yes,No,No,0
100110,TXN0000110,18,929,Female,35375.0,12853.85,868.12,22,Friday,Online Purchase,Grocery,Debit Card,Other,No,Mobile,84.4,58.1,1,22,574.58,1182.05,1108,0,No,No,No,0
100111,TXN0000111,41,1942,Male,68651.0,20245.01,2061.06,13,Monday,Online Purchase,Grocery,Credit Card,Kolkata,No,Mobile,84.9,10.4,2,23,2467.38,2740.39,76,0,Yes,No,No,0
100112,TXN0000112,39,238,Male,69313.0,10941.73,38139.91,9,Tuesday,Bill Payment,Dining,Credit Card,Kolkata,No,Mobile,82.1,55.1,6,20,24532.39,45377.44,103,0,No,No,No,0
100113,TXN0000113,29,1785,Male,41564.0,78039.79,1137.83,12,Saturday,Online Purchase,Electronics,Credit Card,Hyderabad,No,Mobile,72.7,17.8,6,13,1434.63,1473.47,423,0,Yes,No,No,0
100114,TXN0000114,20,1382,Female,49237.0,38756.58,1586.01,8,Monday,Online Purchase,Electronics,Debit Card,Jaipur,No,Desktop,79.1,11.2,3,27,2090.5,3157.29,508,0,Yes,No,No,0
100115,TXN0000115,37,844,Male,66711.0,20898.05,1392.65,6,Saturday,Purchase,Grocery,Online,Chennai,No,Mobile,67.0,33.7,3,21,1661.94,1121.94,89,0,No,No,No,0
100116,TXN0000116,30,1217,Male,46148.0,30043.1,580.36,6,Monday,Online Purchase,Online Services,Debit Card,Chennai,No,Desktop,80.1,15.9,5,25,437.47,1198.19,219,1,No,No,No,0
100117,TXN0000117,39,1066,Male,32756.0,62627.13,5608.01,7,Wednesday,Purchase,Clothing,Credit Card,Delhi,No,Mobile,84.7,31.1,4,23,7512.32,8105.8,399,1,No,No,No,0
100118,TXN0000118,36,2471,Female,75304.0,128915.04,270.08,20,Sunday,Purchase,Online Services,Contactless,Mumbai,No,Mobile,85.4,8.5,7,15,296.59,443.69,475,1,No,No,No,0
100119,TXN0000119,54,971,Male,41806.0,74752.15,1188.12,16,Sunday,Bill Payment,Electronics,Credit Card,Hyderabad,No,Desktop,87.9,33.9,2,18,662.29,1102.67,41,0,No,No,No,0
100120,TXN0000120,33,905,Female,85877.0,132852.26,1418.33,3,Saturday,Purchase,Clothing,Online,Delhi,No,Mobile,85.5,14.9,4,17,788.35,785.45,463,0,No,No,Yes,0
100121,TXN0000121,25,1233,Male,83934.0,75020.22,815.54,10,Friday,ATM Withdrawal,Electronics,Debit Card,Kolkata,No,Desktop,48.2,30.8,6,10,532.25,826.57,8586,0,Yes,Yes,No,1
100122,TXN0000122,38,1065,Male,90618.0,13233.47,1034.53,16,Monday,Online Purchase,Fuel,Debit Card,Mumbai,No,Mobile,75.2,21.0,6,20,454.91,1336.46,127,0,No,No,No,0
100123,TXN0000123,38,380,Female,44379.0,71588.69,5047.87,17,Saturday,Bill Payment,Electronics,Credit Card,Jaipur,No,Mobile,88.9,7.2,6,16,3106.26,4642.3,26,0,No,No,No,0
100124,TXN0000124,51,174,Male,31948.0,9896.25,1747.46,17,Monday,Online Purchase,Grocery,Credit Card,Hyderabad,No,Mobile,81.5,20.9,4,28,2123.46,839.44,663,0,No,No,No,0
100125,TXN0000125,45,628,Male,57984.0,102230.7,695.12,14,Friday,ATM Withdrawal,Clothing,Credit Card,Kolkata,No,Desktop,88.6,19.9,6,23,1108.08,957.58,220,0,No,No,No,0
100126,TXN0000126,40,202,Female,56168.0,58535.04,2211.88,16,Monday,Online Purchase,Healthcare,Credit Card,Mumbai,No,POS,78.9,20.1,2,16,1815.76,4661.51,217,1,No,No,No,0
100127,TXN0000127,52,1328,Male,49956.0,31216.18,1426.57,17,Friday,Online Purchase,Online Services,Contactless,Other,No,Mobile,89.5,6.6,2,18,2905.58,497.88,356,0,No,No,No,0
100128,TXN0000128,23,2459,Female,46924.0,15338.89,294.72,15,Wednesday,Online Purchase,Clothing,Debit Card,Pune,No,Mobile,91.7,3.4,2,20,266.48,424.42,294,0,Yes,No,No,0
100129,TXN0000129,29,1244,Male,60686.0,93828.29,4319.14,18,Wednesday,Online Purchase,Online Services,Online,Hyderabad,No,POS,70.9,28.2,2,22,9437.52,5929.88,1038,2,No,No,No,0
100130,TXN0000130,26,530,Male,55354.0,70270.81,4022.99,21,Friday,Online Purchase,Online Services,Credit Card,Pune,No,Desktop,92.3,52.3,5,20,3671.19,870.84,8,0,Yes,No,No,0
100131,TXN0000131,32,1390,Female,60453.0,21757.17,803.3,8,Tuesday,Purchase,Dining,Debit Card,Pune,No,POS,55.3,43.8,5,22,684.15,1035.33,485,1,No,No,No,0
100132,TXN0000132,21,1827,Female,38094.0,6037.67,6753.58,19,Wednesday,Purchase,Online Services,Credit Card,Delhi,No,Mobile,73.7,13.0,6,15,10097.79,7286.04,208,1,No,No,No,0
100133,TXN0000133,43,1583,Male,26504.0,28509.83,994.8,3,Friday,ATM Withdrawal,Clothing,Online,Chennai,No,Desktop,80.1,55.6,4,23,888.94,472.18,178,0,No,No,Yes,0
